customer_id,visit_date,age,gender,cuisine_type,restaurant_location,party_size,wait_time,food_quality,service_quality,ambiance_rating,price_value,overall_rating,spending_per_person,total_spending,recommend,will_return,payment_method,visit_time,day_of_week,is_weekend,response_time,cleanliness,review_text
1,2025-02-17,58,Male,Italian,North Jakarta,4,19,4,2,4,4,3.5,335929,1343716,Yes,Yes,Credit Card,Breakfast,Monday,0,5,3,Fresh ingredients and perfect seasoning. Poor customer service. Might give it another try.
2,2023-11-26,31,Male,Western,Central Jakarta,4,50,4,5,5,5,4.8,474374,1897496,Yes,Yes,Credit Card,Dinner,Sunday,1,13,3,"Amazing Western cuisine, authentic flavors! Great customer service experience. Definitely coming back!"
3,2024-05-27,31,Female,Japanese,South Jakarta,7,11,4,5,4,3,4.0,432589,3028123,Yes,Yes,E-Wallet,Late Night,Monday,0,7,5,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Definitely coming back!
4,2024-04-19,36,Female,Arabic,East Jakarta,2,7,3,2,2,2,2.2,249295,498590,No,No,Cash,Dinner,Friday,0,10,4,Food was okay. Poor customer service. Might give it another try.
5,2025-04-29,40,Male,Vietnamese,North Jakarta,2,43,4,4,2,2,3.0,292357,584714,No,Yes,E-Wallet,Lunch,Tuesday,0,26,4,Best Vietnamese I've had in a long time! Staff went above and beyond. Might give it another try.
6,2025-03-16,21,Male,Italian,Bekasi,7,22,1,3,3,2,2.2,161477,1130339,No,No,E-Wallet,Late Night,Sunday,1,9,4,Not authentic at all. Service was acceptable. Might give it another try.
7,2025-08-21,26,Male,Western,North Jakarta,7,42,5,4,4,5,4.5,308744,2161208,Yes,Yes,Credit Card,Lunch,Thursday,0,25,3,The Western food was absolutely delicious! Service was excellent and attentive. Definitely coming back!
8,2024-01-10,61,Female,Arabic,South Jakarta,7,29,5,5,5,4,4.8,406664,2846648,Yes,Yes,Credit Card,Dinner,Wednesday,0,8,4,Fresh ingredients and perfect seasoning. Server was knowledgeable and helpful. Definitely coming back!
9,2024-09-11,45,Male,Korean,Central Jakarta,5,37,4,2,4,3,3.2,491277,2456385,No,Yes,QRIS,Lunch,Wednesday,0,16,3,Fresh ingredients and perfect seasoning. Staff seemed uninterested. Might give it another try.
10,2023-11-29,52,Male,Arabic,Bekasi,8,6,2,2,1,1,1.5,176286,1410288,No,No,QRIS,Late Night,Wednesday,0,7,5,The Arabic was disappointing. Service was slow and inattentive. Probably won't return.
11,2024-04-15,26,Male,Vietnamese,Depok,3,21,4,5,5,5,4.8,155461,466383,Yes,Yes,Cash,Late Night,Monday,0,21,4,"Food was exceptional, especially the main course. Server was knowledgeable and helpful. Definitely coming back!"
12,2024-11-11,25,Male,Chinese,South Jakarta,6,6,4,2,2,2,2.5,421112,2526672,No,No,Credit Card,Breakfast,Monday,0,15,3,"Amazing Chinese cuisine, authentic flavors! Service was slow and inattentive. Might give it another try."
13,2023-11-27,50,Male,Mexican,Depok,4,39,4,4,4,3,3.8,177400,709600,Yes,Yes,E-Wallet,Breakfast,Monday,0,8,5,"Food was exceptional, especially the main course. Friendly staff and quick service. Might give it another try."
14,2024-04-01,45,Female,Thai,Tangerang,8,60,3,3,3,1,2.5,81778,654224,No,No,E-Wallet,Dinner,Monday,0,30,3,Food was okay. Service was acceptable. Might give it another try.
15,2025-02-25,33,Male,Chinese,Depok,3,32,3,3,2,2,2.5,282328,846984,No,No,QRIS,Breakfast,Tuesday,0,6,5,Food was okay. Service was acceptable. Might give it another try.
16,2024-12-10,52,Male,Japanese,East Jakarta,3,31,5,4,5,4,4.5,136317,408951,Yes,Yes,E-Wallet,Dinner,Tuesday,0,30,4,The Japanese food was absolutely delicious! Great customer service experience. Definitely coming back!
17,2024-04-17,36,Female,Western,Depok,3,17,3,3,5,5,4.0,334266,1002798,Yes,Yes,Credit Card,Dinner,Wednesday,0,6,3,Food was okay. Service was acceptable. Definitely coming back!
18,2025-01-11,55,Female,Western,West Jakarta,1,37,1,1,3,1,1.5,404005,404005,No,No,Debit Card,Lunch,Saturday,1,23,5,Not authentic at all. Service was slow and inattentive. Probably won't return.
19,2025-06-21,20,Male,Thai,Bekasi,5,18,3,4,4,3,3.5,402159,2010795,Yes,Yes,Cash,Dinner,Saturday,1,29,3,Food was okay. Great customer service experience. Might give it another try.
20,2023-11-12,18,Female,Arabic,South Jakarta,2,39,4,3,2,3,3.0,86066,172132,No,Yes,Debit Card,Dinner,Sunday,1,10,4,Best Arabic I've had in a long time! Service was acceptable. Might give it another try.
21,2025-06-19,52,Female,Arabic,Central Jakarta,5,47,1,2,1,1,1.2,439240,2196200,No,No,QRIS,Dinner,Thursday,0,24,3,Food was mediocre at best. Had to wait too long for everything. Probably won't return.
22,2025-04-01,63,Female,Chinese,North Jakarta,8,21,1,3,2,2,2.0,73114,584912,No,No,Credit Card,Lunch,Tuesday,0,25,4,Overcooked and underseasoned dishes. Service was acceptable. Probably won't return.
23,2024-07-13,28,Female,Western,Tangerang,1,12,3,1,3,1,2.0,487568,487568,No,No,Cash,Lunch,Saturday,1,18,3,Food was okay. Server was rude and unprofessional. Probably won't return.
24,2024-02-29,20,Female,Indian,Central Jakarta,6,18,4,2,3,4,3.2,263058,1578348,No,Yes,QRIS,Lunch,Thursday,0,30,3,"Amazing Indian cuisine, authentic flavors! Staff seemed uninterested. Might give it another try."
25,2025-10-07,44,Male,Indonesian,Bekasi,7,56,3,2,4,2,2.8,250562,1753934,No,No,Credit Card,Lunch,Tuesday,0,11,4,Food was okay. Poor customer service. Might give it another try.
26,2024-07-11,40,Female,Chinese,East Jakarta,1,47,3,3,3,2,2.8,455445,455445,No,No,Cash,Dinner,Thursday,0,25,5,Food was okay. Service was acceptable. Might give it another try.
27,2024-01-14,43,Female,Italian,South Jakarta,5,16,3,3,5,4,3.8,231239,1156195,Yes,Yes,Cash,Late Night,Sunday,1,24,5,Food was okay. Service was acceptable. Might give it another try.
28,2024-01-17,25,Female,Arabic,East Jakarta,5,7,4,5,5,5,4.8,427188,2135940,Yes,Yes,Debit Card,Breakfast,Wednesday,0,26,4,Best Arabic I've had in a long time! Great customer service experience. Definitely coming back!
29,2025-07-19,57,Female,Vietnamese,South Jakarta,5,37,5,4,4,4,4.2,415538,2077690,Yes,Yes,Cash,Lunch,Saturday,1,18,5,Fresh ingredients and perfect seasoning. Friendly staff and quick service. Definitely coming back!
30,2025-01-22,42,Male,Arabic,North Jakarta,7,40,2,2,1,2,1.8,461963,3233741,No,No,QRIS,Late Night,Wednesday,0,19,4,Portions were too small for the price. Had to wait too long for everything. Probably won't return.
31,2025-06-20,61,Male,Western,Depok,3,47,2,3,3,3,2.8,374671,1124013,No,No,Cash,Lunch,Friday,0,26,4,The Western was disappointing. Service was acceptable. Might give it another try.
32,2025-04-24,32,Male,Indonesian,Central Jakarta,1,20,5,4,5,5,4.8,380178,380178,Yes,Yes,QRIS,Late Night,Thursday,0,17,3,"Amazing Indonesian cuisine, authentic flavors! Great customer service experience. Definitely coming back!"
33,2024-12-03,27,Male,Japanese,Tangerang,4,16,4,5,4,4,4.2,289317,1157268,Yes,Yes,Debit Card,Dinner,Tuesday,0,29,4,"Food was exceptional, especially the main course. Staff went above and beyond. Definitely coming back!"
